id,struct_id,type
4817,5009,PEPTIDE
4818,5010,ORGANIC
4819,5011,PROTEIN
4784,4986,PROTEIN
4785,4987,PROTEIN
4786,4988,ORGANIC
4771,4976,ORGANIC
4772,4977,MONOCLONAL ANTIBODY
4773,1358,MIXTURE
4774,728,POLYMER
4775,4021,MIXTURE
4776,4978,FUSION PROTEIN
4777,4979,MONOCLONAL ANTIBODY
4778,4980,ANTIBODY-DRUG CONJUGATE
4779,4981,PEPTIDE
4780,4982,MONOCLONAL ANTIBODY
4781,4983,MONOCLONAL ANTIBODY
4782,4984,ANTIBODY-DRUG CONJUGATE
4783,4985,PEPTIDE
4728,4941,ORGANIC
4729,4942,ORGANIC
4730,4943,ORGANIC
4731,4944,ORGANIC
4733,4945,PEPTIDE
4734,4946,ORGANIC
4735,4947,ORGANIC
4736,4948,MONOCLONAL ANTIBODY
4738,4949,MONOCLONAL ANTIBODY
4739,4950,MONOCLONAL ANTIBODY
4741,4951,MONOCLONAL ANTIBODY
4742,4952,MONOCLONAL ANTIBODY
4743,4953,MONOCLONAL ANTIBODY
4744,4954,MONOCLONAL ANTIBODY
4745,3484,ORGANIC
4746,2316,ORGANIC
4747,2560,ORGANIC
4748,4173,ORGANIC
4749,4172,ORGANIC
4750,4955,MONOCLONAL ANTIBODY
4751,4956,MONOCLONAL ANTIBODY
4752,4957,MONOCLONAL ANTIBODY
4753,4958,MONOCLONAL ANTIBODY
4754,4959,MONOCLONAL ANTIBODY
4755,4960,PEPTIDE
4756,4961,MONOCLONAL ANTIBODY
4757,4962,ORGANIC
4758,4963,ORGANIC
4759,4964,ANTIBODY-DRUG CONJUGATE
4760,4965,MONOCLONAL ANTIBODY
4761,4966,MONOCLONAL ANTIBODY
4762,4967,MONOCLONAL ANTIBODY
4763,4968,MONOCLONAL ANTIBODY
4764,4969,MONOCLONAL ANTIBODY
4765,4970,MONOCLONAL ANTIBODY
4766,4971,MONOCLONAL ANTIBODY
4767,4972,MONOCLONAL ANTIBODY
4768,4973,ORGANIC
4769,4974,MONOCLONAL ANTIBODY
4770,4975,MONOCLONAL ANTIBODY
4705,4918,ENZYME
4706,4919,ORGANIC
4707,4920,ORGANIC
4708,4921,ORGANIC
4709,4922,ORGANIC
4710,4923,MONOCLONAL ANTIBODY
4711,4924,MONOCLONAL ANTIBODY
4712,4925,PROTEIN
4713,4926,INORGANIC
4714,4927,PEPTIDE
4715,4928,PROTEIN
4716,4929,PROTEIN
4717,4930,PROTEIN
4718,4931,PEPTIDE
4719,4932,ENZYME
4720,4933,MONOCLONAL ANTIBODY
4721,4934,MONOCLONAL ANTIBODY
4722,4935,MONOCLONAL ANTIBODY
4723,4936,PEPTIDE
4724,4937,ORGANIC
4725,4938,ORGANIC
4726,4939,ORGANIC
4727,4940,MONOCLONAL ANTIBODY
4702,4915,MONOCLONAL ANTIBODY
4703,4916,FUSION PROTEIN
4704,4917,MONOCLONAL ANTIBODY
4682,4898,ORGANIC
4683,4899,ORGANIC
4684,4900,ORGANIC
4685,4901,PEPTIDE
4686,4902,ORGANIC
4687,4903,ORGANIC
4689,4904,MONOCLONAL ANTIBODY
4690,4905,OLIGONUCLEOTIDE
4691,4906,ORGANIC
4692,4907,ORGANIC
4693,4908,ORGANIC
4694,4909,MONOCLONAL ANTIBODY
4695,4910,PEPTIDE
4696,4911,ORGANOMETALLIC
4697,4911,COORDINATION
4698,4912,ORGANIC
4699,4913,ORGANIC
4701,4914,ORGANIC
4668,4885,PEPTIDE
4669,4884,MIXTURE
4670,4886,ORGANIC
4671,4887,ORGANIC
4672,4888,ORGANIC
4673,4889,ORGANIC
4674,4890,ORGANIC
4675,4891,ORGANIC
4676,4892,ORGANIC
4677,4893,ORGANIC
4678,4894,ORGANIC
4679,4895,ORGANIC
4680,4896,ORGANIC
4681,4897,ORGANIC
4660,4880,MIXTURE
4661,4880,POLYMER
4662,4881,ORGANIC
4665,4882,ORGANIC
4666,4883,ORGANIC
4651,2985,POLYMER
4652,4873,ORGANIC
4653,4874,ORGANIC
4654,2956,MIXTURE
4655,4875,ORGANIC
4656,4876,ORGANIC
4657,4877,ORGANIC
4658,4878,ORGANIC
4659,4879,MIXTURE
4650,3665,ORGANIC SALT
4648,4871,POLYMER
4649,4872,ORGANIC
4641,4865,ORGANIC
4642,4866,ORGANIC
4643,4867,ORGANIC
4644,4868,ORGANIC
4645,4869,ORGANIC
4646,4870,ORGANIC
4603,4832,ORGANIC
4604,4833,ORGANIC
4605,4834,ORGANIC
4606,4835,ORGANIC
4608,4836,PEPTIDE
4609,4837,INORGANIC SALT
4610,4838,INORGANIC
4611,4839,PEPTIDE
4612,4840,MIXTURE
4613,4841,INORGANIC SALT
4614,4842,ORGANIC SALT
4615,4843,ORGANIC SALT
4616,4844,ORGANIC SALT
4617,4845,RADIOPHARMACEUTICAL
4618,4845,COORDINATION
4619,4846,PEPTIDE
4620,4847,COORDINATION
4621,4847,RADIOPHARMACEUTICAL
4622,4848,PEPTIDE
4623,4849,ORGANIC
4625,4851,POLYMER
4626,4852,POLYMER
4628,4853,ORGANIC
4629,4854,POLYMER
4630,4855,MIXTURE
4631,4856,ORGANIC
4632,4857,ORGANIC
4633,4858,PEPTIDE
4635,4859,MIXTURE
4636,4860,COORDINATION
4637,4861,ORGANIC
4638,4862,ORGANIC
4639,4863,ORGANIC
4640,4864,ORGANIC
4600,4829,ORGANIC
4601,4830,ORGANIC
4602,4831,ORGANIC
4593,4824,ORGANIC
4594,4825,ORGANIC
4595,4826,PEPTIDE
4596,664,INNER SALT
4597,4827,RADIOPHARMACEUTICAL
4598,4828,RADIOPHARMACEUTICAL
4599,3974,POLYMER
4588,205,MIXTURE
4590,4821,PEPTIDE
4591,4822,ORGANIC
4592,4823,ORGANIC
4579,2414,INNER SALT
4580,4169,INNER SALT
4581,4818,RADIOPHARMACEUTICAL
4583,4140,INNER SALT
4584,4819,ORGANIC
4585,3203,ORGANIC
4586,4820,ORGANIC
4587,3485,MIXTURE
4575,326,MIXTURE
4577,3552,MIXTURE
4578,4817,ORGANIC
4557,4806,ORGANIC
4558,4807,ORGANIC
4559,4808,ORGANIC
4560,4809,ORGANIC
4561,4810,ORGANIC
4564,4811,ORGANIC
4565,4794,PEPTIDE
4568,4812,ORGANIC
4569,281,MIXTURE
4571,4813,ORGANIC
4572,4814,ORGANIC
4573,4815,PEPTIDE
4574,4816,ORGANIC
4555,2994,PEPTIDE
4556,2998,MIXTURE
4553,4804,PEPTIDE
4554,4805,ORGANIC
4520,4779,ORGANIC SALT
4521,4780,ORGANIC SALT
4522,4781,INORGANIC SALT
4523,4782,INORGANIC SALT
4524,4783,UNKNOWN
4525,4784,INORGANIC SALT
4526,4785,MIXTURE
4527,4786,INORGANIC
4528,4787,INORGANIC
4530,4788,ORGANOMETALLIC
4531,4789,INORGANIC
4532,4790,INORGANIC SALT
4535,4793,MIXTURE
4536,4794,MIXTURE
4537,3485,ORGANIC SALT
4538,4795,INORGANIC SALT
4539,4796,ORGANIC SALT
4540,4797,INORGANIC SALT
4543,4799,ORGANIC
4544,4800,RADIOPHARMACEUTICAL
4545,248,ORGANIC
4547,4801,ORGANIC
4548,4802,ORGANIC
