struct_id,atc_code,id
5076,B03AB10,549
4261,B03AD02,550
4528,B03AD03,551
4491,B03AD05,552
4196,B03BA01,553
4309,B03BA03,554
4404,B03BA04,555
4600,B03BA05,556
1231,B03BB01,557
4995,B03XA01,558
5157,B03XA02,559
5165,B03XA03,560
4234,B03XA04,561
5371,B03XA05,562
5364,B03XA06,563
2771,B05BB03,564
935,B05BC01,565
4264,B05BC02,566
3083,B05CA01,567
597,B05CA02,568
1950,B05CA03,569
2512,B05CA04,570
2568,B05CA05,571
1629,B05CA06,572
3391,B05CA07,573
3194,B05CA08,574
4247,B05CA09,575
4198,B05CB01,576
4477,B05CB02,577
4281,B05CB03,578
4205,B05CB04,579
845,B05CX01,580
2462,B05CX02,581
1319,B05CX03,582
935,B05CX04,583
4199,B05XA01,584
4205,B05XA02,585
4198,B05XA03,586
4350,B05XA04,587
4290,B05XA05,588
4201,B05XA07,589
4203,B05XA08,590
4219,B05XA09,591
4596,B05XA10,592
4200,B05XA11,593
4344,B05XA12,594
4568,B05XA13,595
1318,B05XA14,596
4695,B05XA15,597
4217,B05XA17,598
4275,B05XA18,599
1549,B05XB01,600
4319,B05XB02,601
1622,B05XB03,602
2771,B05XX02,603
5033,B06AA03,604
5040,B06AA04,605
5135,B06AA10,606
5117,B06AB01,607
4186,B06AC02,608
4846,B06AC03,609
5152,B06AC04,610
5309,B06AC05,611
5365,B06AX01,612
67,C01AA01,613
68,C01AA02,614
881,C01AA04,615
882,C01AA05,616
1543,C01AA06,617
813,C01AA07,618
1761,C01AA08,619
1296,C01AA09,620
2313,C01AB01,621
2004,C01AC01,622
4408,C01AC03,623
3809,C01AX02,624
2346,C01BA01,625
2270,C01BA02,626
926,C01BA03,627
2467,C01BA04,628
100,C01BA05,629
2230,C01BA08,630
1604,C01BA12,631
889,C01BA13,632
1579,C01BB01,633
1794,C01BB02,634
2686,C01BB03,635
231,C01BB04,636
2291,C01BC03,637
1176,C01BC04,638
1607,C01BC07,639
1007,C01BC08,640
4835,C01BC09,641
176,C01BD01,642
394,C01BD02,643
428,C01BD03,644
942,C01BD04,645
1412,C01BD05,646
4655,C01BD06,647
4112,C01BD07,648
1842,C01BG01,649
630,C01BG07,650
