Entrez	GeneSymbol	GeneType	UMLS_CUI	Disease	TraitType	Cluster
6599	SMARCC1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
6657	SOX2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
8289	ARID1A	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
7273	TTN	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
4342	MOS	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_9
10969	EBNA1BP2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
23212	RRS1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
51154	MRTO4	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
55299	BRIX1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
55342	STRBP	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
822	CAPG	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
688	KLF5	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
1786	DNMT1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
4000	LMNA	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
4605	MYBL2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
7515	XRCC1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
7520	XRCC5	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
213	ALB	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
1967	EIF2B1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
5530	PPP3CA	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
5832	ALDH18A1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
5159	PDGFRB	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
2618	GART	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
7167	TPI1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
7298	TYMS	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
3028	HSD17B10	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
5092	PCBD1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_10
64841	GNPNAT1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_11
4915	NTRK2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
10452	TOMM40	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
10360	NPM3	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
705	BYSL	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
3146	HMGB1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
5594	MAPK1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
3098	HK1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
8833	GMPS	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
94239	H2AZ2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
196	AHR	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
3643	INSR	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
1854	DUT	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
2046	EPHA8	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
9817	KEAP1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
673	BRAF	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
2194	FASN	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
